npi,tier,hospital_affiliated,known_autonomic_biller,state,taxonomy
1912199217,off-grid,Y,N,MA,Nurse Practitioner - Pediatrics
1831293703,off-grid,N,N,MA,Pathology - Dermatopathology
1881254985,off-grid,N,N,MA,Nurse Practitioner
1477052975,T1,N,N,MA,Counselor
1316570104,off-grid,Y,N,MA,Physician Assistant
1831154574,T5,N,N,RI,Internal Medicine
1740076421,off-grid,N,N,MA,Counselor - Mental Health
1598199275,off-grid,Y,N,MA,Physician Assistant
1437358017,off-grid,N,N,MA,Optometrist
1750312229,off-grid,N,N,NH,Pediatrics - Pediatric Rheumatology
1104910918,T5,N,N,MA,Psychologist
1801247705,T1,N,N,NH,Counselor - Mental Health
1881828697,off-grid,N,N,ME,Internal Medicine
1346263142,T1,N,N,MA,Social Worker - Clinical
1881091387,off-grid,N,N,ME,Physician Assistant - Medical
1992515142,off-grid,N,N,MA,Physician Assistant
1679558415,T4,N,N,NH,Nurse Practitioner - Family
1174759468,T1,N,N,MA,Social Worker - Clinical
1760353296,off-grid,Y,N,NH,Audiologist
1851680649,T1,N,N,MA,Counselor - Mental Health
1336581529,T1,N,N,NH,Behavior Analyst
1194970939,T1,N,N,MA,Counselor - Mental Health
1568313864,T2,N,N,ME,Counselor - Mental Health
1881740132,T4,N,N,NH,Hospitalist
1033232376,off-grid,N,N,MA,Advanced Practice Midwife
1164548186,off-grid,Y,N,MA,Nurse Practitioner
1871489815,T1,N,N,RI,Social Worker - Clinical
1427553353,off-grid,N,N,ME,Pediatrics
1538932603,off-grid,N,N,MA,Social Worker - Clinical
1114486016,T5,Y,N,MA,Internal Medicine - Nephrology
1003201989,T5,N,N,MA,Emergency Medicine
1497952394,off-grid,N,N,NH,Hospitalist
1396722203,T5,N,N,MA,Internal Medicine - Cardiovascular Disease
1497215065,off-grid,N,N,MA,Internal Medicine - Infectious Disease
1255728481,T5,N,N,RI,Psychiatry & Neurology - Neurology with Special Qualifications in Child Neurology
1740262286,off-grid,N,N,MA,Internal Medicine - Gastroenterology
1255901310,off-grid,N,N,RI,Nurse Practitioner - Family
1750369559,off-grid,Y,N,MA,Internal Medicine - Hepatology
1821728247,T5,N,N,MA,Podiatrist
1518584689,T1,N,N,MA,Counselor - Mental Health
1730117730,T5,N,N,RI,Urology
1730896325,off-grid,N,N,NH,Nurse Practitioner - Family
1750922449,off-grid,N,N,MA,"Registered Nurse - Psychiatric/Mental Health, Adult"
1346866068,T2,N,N,ME,Optometrist
1386164226,off-grid,N,N,RI,Surgery
1013335504,off-grid,Y,N,MA,Obstetrics & Gynecology - Urogynecology and Reconstructive Pelvic Surgery
1851357131,T4,N,N,ND,Internal Medicine
1285864538,off-grid,N,N,UT,Marriage & Family Therapist
1275680886,T1,N,N,MA,Counselor - Mental Health
1861804312,T4,N,N,VT,Physical Therapist
1174070726,T1,N,N,MA,Counselor - Mental Health
1376689919,off-grid,N,N,MA,Internal Medicine - Nephrology
1205396306,off-grid,N,N,ME,Psychiatry & Neurology - Psychiatry
1861956393,off-grid,N,N,NH,Counselor - Mental Health
1306934591,off-grid,N,N,MA,Nurse Practitioner - Adult Health
1437183886,off-grid,Y,N,NH,Orthopaedic Surgery
1861887663,off-grid,N,N,RI,Internal Medicine - Cardiovascular Disease
1649429515,off-grid,Y,N,MA,Internal Medicine - Pulmonary Disease
1063436921,T4,Y,N,VT,Otolaryngology
1760887616,off-grid,N,N,RI,Counselor - Addiction (Substance Use Disorder)
1184287427,T4,N,N,FL,Psychiatry & Neurology - Neurology
1477013761,T1,N,N,MA,Counselor - Mental Health
1528214947,off-grid,N,N,AL,Internal Medicine - Critical Care Medicine
1841476934,off-grid,N,N,MA,Internal Medicine - Hematology & Oncology
1447236161,T5,N,N,MA,Radiology - Diagnostic Radiology
1073179214,T1,N,N,NH,Specialist
1275196479,off-grid,N,N,RI,Social Worker - Clinical
