payer,file_description,location_url,number_of_reporting_plans,example_plan_names,plan_market_types,n_primary_tocs,n_employer_tocs,size_bytes,last_modified,content_type,content_encoding,head_method,head_status,head_error
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A081-FS_in-network-rates.zip,1,Husson University - Maines Choice Plus HMO,group,0,1,108960621,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A081-P1_in-network-rates.zip,2,Maines Choice Plus HMO,group; individual,1,0,109484337,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A087-P1_in-network-rates.zip,2,NH Local Choice HMO,group; individual,1,0,120588068,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A088-P1_in-network-rates.zip,2,NH Local HMO,group; individual,1,0,120586497,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A089-FS_in-network-rates.zip,1,GROUP INSURANCE COMMISSION - Harvard Pilgrim Quality HMO,group,0,1,109009565,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A090-FS_in-network-rates.zip,1,GROUP INSURANCE COMMISSION - Harvard Pilgrim Explorer POS,group,0,1,108272233,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A091-FS_in-network-rates.zip,1,SALVE REGINA UNIVERSITY - Ocean State Access America,group,0,1,108638020,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A091-P1_in-network-rates.zip,1,Ocean State Access America,group; individual,0,1,108582991,"Sun, 06 Sep 2026 05:01:33 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A092-FS_in-network-rates.zip,1,"CAPE COD HEALTHCARE, INC. - CCHC DPO-GEO Plan (POS)",group,0,1,108962958,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A093-FS_in-network-rates.zip,1,"CAPE COD HEALTHCARE, INC. - CCHC Out-of-Area Plan (PPO)",group,0,1,108556685,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A094-P1_in-network-rates.zip,4,PPO Access,group; individual,0,1,108638155,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A095-P1_in-network-rates.zip,4,PPO Access - Flex,group; individual,1,1,108669141,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A096-P1_in-network-rates.zip,1,PPO Access - LP,group; individual,0,1,108602254,"Sun, 06 Sep 2026 05:01:34 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A097-FS_in-network-rates.zip,1,CLERGY MEDICAL HOSPITALIZATION PLAN - Clergy POS,group,0,1,108981403,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A098-FS_in-network-rates.zip,1,"CAPE COD HEALTHCARE, INC. - CCHC DPO Plan (POS)",group,0,1,108978884,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A099-FS_in-network-rates.zip,3,Beth Israel Lahey Health (BILH) - BILH Network Premier HMO | Exeter Health Resources - BILH Network Premier HMO | JOSLIN DIABETES CENTER - BILH Network Premier HMO,group,0,3,109852954,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A100-FS_in-network-rates.zip,3,Beth Israel Lahey Health (BILH) - BILH Flex Network HMO | Exeter Health Resources - BILH Flex Network HMO | JOSLIN DIABETES CENTER - BILH Flex Network HMO,group,0,3,109731354,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A101-FS_in-network-rates.zip,1,UNITE HERE HEALTHLOCAL 26 - UHH Local 26 Select,group,0,1,108808945,"Sun, 06 Sep 2026 05:01:36 GMT",application/zip,,HEAD,200,
Harvard Pilgrim Health Care,in-network file,https://eusprdtransparencymrfp32.blob.core.windows.net/hphc/2026-09-01_A102-P1_in-network-rates.zip,3,National Access EPO,group; individual,2,0,107975646,"Sun, 06 Sep 2026 05:01:35 GMT",application/zip,,HEAD,200,
